district,new_republican_voters,new_democrat_voters,net_advantage,net_advantage_pct,advantage_party
6,32128.0,6332.0,25796.0,44.822073950514316,Republican
67,31071.0,7091.0,23980.0,43.84713841652953,Republican
14,31375.0,8376.0,22999.0,39.4947881785242,Republican
60,24551.0,1628.0,22923.0,59.56501403180543,Republican
33,35490.0,15005.0,20485.0,29.887220787557812,Republican
4,22552.0,2308.0,20244.0,52.746221990620114,Republican
66,25190.0,6273.0,18917.0,42.80251606480224,Republican
73,22619.0,3831.0,18788.0,45.6973293768546,Republican
70,26906.0,8281.0,18625.0,36.1047571046408,Republican
89,24688.0,6183.0,18505.0,41.822989648781814,Republican
9,20170.0,2353.0,17817.0,49.589468117676525,Republican
61,21641.0,5947.0,15694.0,40.79542500649857,Republican
19,16427.0,1357.0,15070.0,56.258632918953225,Republican
1,17053.0,2141.0,14912.0,50.07219368053457,Republican
53,16101.0,1432.0,14669.0,57.233710495513066,Republican
82,15862.0,1204.0,14658.0,56.557471929621485,Republican
98,18881.0,4384.0,14497.0,44.29540454656563,Republican
34,15657.0,1363.0,14294.0,53.171149053305065,Republican
5,16039.0,2009.0,14030.0,48.99427294314849,Republican
24,18206.0,4179.0,14027.0,44.93960849645981,Republican
12,17907.0,4141.0,13766.0,44.448032029963514,Republican
2,15054.0,1445.0,13609.0,45.11669539848827,Republican
30,14541.0,1294.0,13247.0,53.299267723505274,Republican
85,16628.0,3858.0,12770.0,39.530708271421496,Republican
86,13714.0,1069.0,12645.0,54.870904751573015,Republican
13,14141.0,1530.0,12611.0,50.76074706166479,Republican
18,12611.0,1108.0,11503.0,58.90214552716473,Republican
41,16074.0,4687.0,11387.0,39.131928932265716,Republican
22,13748.0,2592.0,11156.0,47.867501930833264,Republican
65,15938.0,4795.0,11143.0,38.92479128095854,Republican
39,15695.0,4646.0,11049.0,38.246391360033236,Republican
71,11867.0,959.0,10908.0,55.26395784780627,Republican
81,12090.0,1337.0,10753.0,49.47547621238612,Republican
78,15170.0,4993.0,10177.0,34.144132053948866,Republican
122,16638.0,7060.0,9578.0,26.53773689460268,Republican
106,13595.0,4413.0,9182.0,36.782438008252214,Republican
57,12825.0,3857.0,8968.0,37.54500544251863,Republican
129,22696.0,13771.0,8925.0,15.81129200843269,Republican
130,18822.0,10341.0,8481.0,19.212559182656367,Republican
26,13724.0,5257.0,8467.0,34.27796445488037,Republican
91,11430.0,2978.0,8452.0,39.716178750998544,Republican
64,12176.0,3740.0,8436.0,37.35718714020016,Republican
121,16140.0,7769.0,8371.0,24.100999049894913,Republican
58,9304.0,1025.0,8279.0,43.42968053296963,Republican
55,11671.0,3503.0,8168.0,36.827629739844,Republican
133,23156.0,15112.0,8044.0,14.038884428775875,Republican
97,13088.0,5228.0,7860.0,27.394395650355502,Republican
63,12419.0,4726.0,7693.0,32.13853030872708,Republican
28,14466.0,6807.0,7659.0,26.332256068211514,Republican
62,8153.0,669.0,7484.0,54.75964000878027,Republican
68,9197.0,1771.0,7426.0,35.96822629080694,Republican
23,11324.0,3917.0,7407.0,33.27194322163328,Republican
37,15897.0,8571.0,7326.0,20.730050933786078,Republican
99,10561.0,3327.0,7234.0,32.795357693353886,Republican
128,17896.0,10719.0,7177.0,16.876734233174997,Republican
36,10696.0,3552.0,7144.0,35.376844607309096,Republican
94,11909.0,4885.0,7024.0,26.5547616347208,Republican
40,9126.0,2426.0,6700.0,40.52501058489082,Republican
127,15620.0,9045.0,6575.0,18.09699438511505,Republican
8,7279.0,756.0,6523.0,47.151944484603156,Republican
32,7098.0,770.0,6328.0,54.173444054447394,Republican
17,9142.0,2995.0,6147.0,33.32249146202634,Republican
93,9495.0,3445.0,6050.0,30.2243093370635,Republican
138,18326.0,12283.0,6043.0,12.983971466632289,Republican
150,13991.0,8118.0,5873.0,17.311717022844512,Republican
87,6473.0,896.0,5577.0,46.28215767634855,Republican
43,5945.0,474.0,5471.0,56.15889960993636,Republican
144,17656.0,12305.0,5351.0,11.91520630608564,Republican
108,14343.0,9029.0,5314.0,14.523093741459414,Republican
35,11159.0,5939.0,5220.0,21.33747547416612,Republican
96,10477.0,5344.0,5133.0,20.620254690073516,Republican
126,12297.0,7317.0,4980.0,15.322605458293593,Republican
132,12559.0,7674.0,4885.0,16.08177508559389,Republican
56,5552.0,713.0,4839.0,48.90348660939869,Republican
54,7519.0,2730.0,4789.0,28.122614363732456,Republican
140,15753.0,11074.0,4679.0,11.057283297098024,Republican
25,4943.0,305.0,4638.0,61.51193633952254,Republican
21,6464.0,2165.0,4299.0,30.10504201680672,Republican
16,5242.0,1593.0,3649.0,36.10726301207204,Republican
11,8061.0,4417.0,3644.0,17.362302267962644,Republican
29,3868.0,252.0,3616.0,58.606158833063205,Republican
59,4128.0,742.0,3386.0,43.701600413009814,Republican
79,7950.0,4671.0,3279.0,16.558933441066557,Republican
88,3397.0,212.0,3185.0,56.54180720752707,Republican
77,6199.0,3056.0,3143.0,22.352606500248914,Republican
112,9451.0,6672.0,2779.0,10.291830234797422,Republican
74,3573.0,1291.0,2282.0,29.293966623876766,Republican
141,23052.0,20977.0,2075.0,3.10206156284104,Republican
72,2177.0,173.0,2004.0,57.86889979786313,Republican
3,2856.0,954.0,1902.0,30.80161943319838,Republican
7,3757.0,1881.0,1876.0,17.933275977440015,Republican
118,7509.0,5901.0,1608.0,7.971840761489267,Republican
135,5858.0,4393.0,1465.0,9.514222626315105,Republican
69,1189.0,38.0,1151.0,62.38482384823848,Republican
149,5834.0,5129.0,705.0,4.266263237518911,Competitive/Swing
137,9837.0,9190.0,647.0,2.197167792984005,Competitive/Swing
15,1257.0,707.0,550.0,20.82544490723211,Competitive/Swing
115,6376.0,5866.0,510.0,2.707293767915915,Competitive/Swing
92,4820.0,4343.0,477.0,3.4703528555838483,Competitive/Swing
105,3484.0,3182.0,302.0,2.8074742028446593,Competitive/Swing
49,346.0,120.0,226.0,21.772639691714836,Competitive/Swing
51,231.0,23.0,208.0,27.01298701298701,Competitive/Swing
46,240.0,51.0,189.0,30.434782608695656,Competitive/Swing
75,400.0,239.0,161.0,15.768854064642507,Competitive/Swing
83,7.0,252.0,-245.0,-60.7940446650124,Competitive/Swing
107,2501.0,3006.0,-505.0,-5.162015741592558,Competitive/Swing
148,9711.0,10299.0,-588.0,-1.9097109451120493,Competitive/Swing
142,19892.0,20689.0,-797.0,-1.289915354362568,Competitive/Swing
117,4399.0,5212.0,-813.0,-5.154377734102581,Competitive/Swing
125,7096.0,7957.0,-861.0,-3.8922291035667467,Competitive/Swing
113,4378.0,5320.0,-942.0,-6.051651034305538,Competitive/Swing
90,2723.0,3732.0,-1009.0,-8.622457699538542,Democrat
84,10.0,1029.0,-1019.0,-69.27260367097213,Democrat
102,3631.0,4713.0,-1082.0,-7.506070065903573,Democrat
104,2057.0,3169.0,-1112.0,-11.589369463262116,Democrat
101,3630.0,5486.0,-1856.0,-12.701019640046535,Democrat
124,2980.0,4838.0,-1858.0,-14.613811546326883,Democrat
76,7648.0,9632.0,-1984.0,-8.66413380496965,Democrat
116,4227.0,6390.0,-2163.0,-12.899570610687022,Democrat
120,3660.0,5873.0,-2213.0,-14.337544541626174,Democrat
119,4446.0,6737.0,-2291.0,-13.101160862354892,Democrat
123,5786.0,8115.0,-2329.0,-10.381100958324046,Democrat
80,80.0,2453.0,-2373.0,-71.1544227886057,Democrat
103,2336.0,4858.0,-2522.0,-19.67085250760471,Democrat
38,6901.0,9429.0,-2528.0,-11.339882474319293,Democrat
143,14519.0,17996.0,-3477.0,-7.212346242402871,Democrat
114,3678.0,7225.0,-3547.0,-18.248700931213666,Democrat
131,9225.0,13202.0,-3977.0,-11.719118340405469,Democrat
110,571.0,4832.0,-4261.0,-44.059559507806846,Democrat
95,2490.0,6895.0,-4405.0,-27.957603452652958,Democrat
100,897.0,5548.0,-4651.0,-41.97274614204494,Democrat
145,21619.0,27121.0,-5502.0,-7.34344135390529,Democrat
146,13951.0,20908.0,-6957.0,-12.994023160254015,Democrat
134,21701.0,28858.0,-7157.0,-9.125451044894108,Democrat
31,8100.0,15537.0,-7437.0,-21.23825570437216,Democrat
27,5568.0,13028.0,-7460.0,-28.430961545790616,Democrat
147,19106.0,26735.0,-7629.0,-11.002466144593951,Democrat
139,8948.0,17029.0,-8081.0,-20.56443403908795,Democrat
111,2730.0,11599.0,-8869.0,-39.01548477916593,Democrat
109,2536.0,11516.0,-8980.0,-41.36914359423228,Democrat
