COUNTY,NEWCD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,6,2550,210,27926,30686,8.309978491820374,0.6843511699146191,91.005670338265
ANDREWS,19,774,15,9974,10763,7.19130353990523,0.139366347672582,92.66933011242219
ANGELINA,17,3266,319,52526,56111,5.820605585357595,0.5685159772593609,93.61087843738305
ARANSAS,27,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,13,529,21,6475,7025,7.530249110320285,0.298932384341637,92.17081850533808
ARMSTRONG,13,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,28,1327,257,30631,32215,4.119199130839671,0.7977650162967562,95.08303585286357
AUSTIN,10,1347,123,20708,22178,6.073586437009649,0.5546036612859591,93.3718099017044
BAILEY,19,278,5,2906,3189,8.717466290373158,0.15678896205707119,91.12574474756977
BANDERA,21,1369,142,17552,19063,7.181450978334994,0.7448984944657189,92.07365052719929
BASTROP,10,1485,741,30588,32814,4.525507405375754,2.2581824830864874,93.21631011153777
BASTROP,27,1219,464,27023,28706,4.246498989758239,1.616386818086811,94.13711419215495
BAYLOR,13,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,27,522,98,15402,16022,3.2580202221944825,0.6116589689177382,96.13032080888779
BELL,11,1122,1075,104283,106480,1.0537190082644627,1.009579263711495,97.93670172802405
BELL,31,5287,910,128083,134280,3.937295204051236,0.6776884122728627,95.3850163836759
BEXAR,20,4312,8691,443608,456611,0.9443486906798128,1.9033707028520994,97.15228060646808
BEXAR,21,8135,5751,225903,239789,3.3925659642435644,2.3983585568979393,94.2090754788585
BEXAR,23,6447,3780,248570,258797,2.4911417056611938,1.4606042573909281,96.04825403694788
BEXAR,28,1821,3098,153406,158325,1.1501657981999052,1.956734564977104,96.89309963682298
BEXAR,35,1351,3658,177132,182141,0.7417330529644616,2.0083342026232422,97.24993274441229
BLANCO,21,887,205,9960,11052,8.025696706478465,1.8548678972131742,90.11943539630836
BORDEN,19,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,31,731,79,12884,13694,5.3381042792463855,0.5768949905067913,94.08500073024683
BOWIE,1,2059,348,53331,55738,3.6940686784599377,0.6243496357960457,95.68158168574402
BOWIE,4,363,35,6726,7124,5.095451993262213,0.49129702414373944,94.41325098259405
BRAZORIA,9,817,1460,58984,61261,1.3336380405151729,2.3832454579585707,96.28311650152625
BRAZORIA,14,5971,731,86551,93253,6.403011163179737,0.7838889901665362,92.81309984665373
BRAZORIA,22,3650,1164,91179,95993,3.802360588792933,1.2125884179054722,94.98505099330158
BRAZOS,10,5148,949,127603,133700,3.850411368735976,0.7097980553477936,95.43979057591623
BREWSTER,23,305,258,6877,7440,4.099462365591398,3.467741935483871,92.43279569892474
BRISCOE,13,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,15,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
BROWN,11,1657,37,23904,25598,6.473161965778576,0.14454254238612393,93.3822954918353
BURLESON,10,734,111,13042,13887,5.285518830560957,0.7993087059840137,93.91517246345504
BURNET,31,2256,332,36711,39299,5.74060408661798,0.8448052113285325,93.41459070205349
CALDWELL,27,911,480,25791,27182,3.351482598778603,1.765874475756015,94.88264292546538
CALHOUN,27,611,83,12569,13263,4.606800874613587,0.6258011008067557,94.76739802457966
CALLAHAN,19,77,4,1039,1120,6.875000000000001,0.35714285714285715,92.76785714285715
CALLAHAN,25,602,14,8714,9330,6.452304394426581,0.15005359056806003,93.39764201500536
CAMERON,34,1302,5089,232117,238508,0.5458936387877975,2.1336810505307997,97.3204253106814
CAMP,1,510,81,7857,8448,6.036931818181818,0.9588068181818182,93.00426136363636
CARSON,13,288,4,4007,4299,6.699232379623169,0.09304489416143288,93.20772272621541
CASS,1,1291,73,20499,21863,5.904953574532315,0.33389745231669943,93.76114897315098
CASTRO,19,156,21,3525,3702,4.213938411669368,0.5672609400324149,95.21880064829821
CHAMBERS,36,2377,126,34653,37156,6.397351706319303,0.3391107761868877,93.26353751749382
CHEROKEE,6,2242,221,29840,32303,6.940531839148066,0.6841469832523295,92.3753211775996
CHILDRESS,13,276,4,3526,3806,7.251707829742513,0.10509721492380451,92.64319495533368
CLAY,13,563,13,7734,8310,6.77496991576414,0.15643802647412755,93.06859205776173
COCHRAN,19,62,2,1614,1678,3.6948748510131106,0.11918951132300357,96.18593563766389
COKE,11,172,3,2273,2448,7.026143790849673,0.12254901960784313,92.85130718954248
COLEMAN,11,622,16,5519,6157,10.10232255968816,0.25986681825564395,89.6378106220562
COLLIN,3,16636,5978,486290,508904,3.2689858991086727,1.174681275839844,95.55633282505148
COLLIN,4,5024,2895,191027,198946,2.525308375136972,1.4551687392558785,96.01952288560715
COLLIN,32,1043,778,42099,43920,2.374772313296903,1.7714025500910748,95.85382513661203
COLLINGSWORTH,13,186,3,1703,1892,9.830866807610994,0.15856236786469344,90.01057082452432
COLORADO,10,1110,88,13626,14824,7.487857528332434,0.5936319481921208,91.91851052347545
COMAL,21,6466,1200,116925,124591,5.189780963311956,0.9631514314838151,93.84706760520423
COMAL,35,444,110,18872,19426,2.2855966230824665,0.5662514156285391,97.148151961289
COMANCHE,25,733,28,9297,10058,7.2877311592761975,0.27838536488367466,92.43388347584013
CONCHO,11,141,6,1653,1800,7.833333333333334,0.33333333333333337,91.83333333333333
COOKE,26,1547,96,28617,30260,5.112359550561798,0.3172504957038995,94.5703899537343
CORYELL,31,1816,222,45071,47109,3.854889723831964,0.4712475323186653,95.67386274384937
COTTLE,13,130,4,861,995,13.06532663316583,0.4020100502512563,86.53266331658291
CRANE,23,237,2,2438,2677,8.853193873739261,0.0747104968248039,91.07209562943594
CROCKETT,23,72,36,2188,2296,3.1358885017421603,1.5679442508710801,95.29616724738676
CROSBY,19,177,8,3457,3642,4.85996705107084,0.21965952773201539,94.92037342119714
CULBERSON,23,4,296,1404,1704,0.2347417840375587,17.370892018779344,82.3943661971831
DALLAM,13,116,2,2751,2869,4.043220634367375,0.06971070059254096,95.88706866504009
DALLAS,5,4827,4523,231960,241310,2.00033152376611,1.8743524926443162,96.12531598358957
DALLAS,6,1374,962,73461,75797,1.8127366518463792,1.2691795189783237,96.91808382917529
DALLAS,24,7276,5732,177099,190107,3.827318299694383,3.015144103057752,93.15753759724787
DALLAS,30,2512,17605,415669,435786,0.5764297155025632,4.039826887509006,95.38374339698844
DALLAS,32,4751,9735,335735,350221,1.35657199311292,2.7796734062206436,95.86375460066644
DALLAS,33,1019,3007,174535,178561,0.5706733273223156,1.6840183466714458,97.74530832600624
DAWSON,19,420,3,6366,6789,6.18647812638091,0.04418912947414936,93.76933274414495
DE WITT,27,713,38,10643,11394,6.257679480428295,0.3335088643145515,93.40881165525715
DEAF SMITH,13,521,15,8242,8778,5.935292777398041,0.17088174982911825,93.89382547277285
DELTA,4,390,9,3721,4120,9.466019417475728,0.2184466019417476,90.31553398058253
DENTON,0,0,0,5,5,0.0,0.0,100.0
DENTON,4,1321,438,36322,38081,3.4689215094141432,1.150179879730049,95.38089861085581
DENTON,13,2761,1291,91405,95457,2.892401814429534,1.352441413411274,95.75515677215918
DENTON,26,14910,4902,490787,510599,2.9200997260080808,0.9600488837620128,96.11985139022991
DENTON,32,256,300,18655,19211,1.33256988183853,1.5616053302795272,97.10582478788194
DICKENS,13,148,5,1286,1439,10.284920083391244,0.34746351633078526,89.36761640027797
DIMMIT,23,13,938,5767,6718,0.1935099732063114,13.962488835963086,85.8440011908306
DONLEY,13,75,7,2338,2420,3.0991735537190084,0.2892561983471074,96.61157024793388
DUVAL,28,13,919,7118,8050,0.16149068322981366,11.416149068322982,88.4223602484472
EASTLAND,25,886,22,11656,12564,7.051894301177969,0.17510347023241007,92.77300222858962
ECTOR,11,2731,287,83771,86789,3.14671214093952,0.3306870686377306,96.52260079042276
EDWARDS,23,139,5,1357,1501,9.260493004663557,0.3331112591605596,90.40639573617588
EL PASO,0,0,0,1,1,0.0,0.0,100.0
EL PASO,16,2904,11794,457296,471994,0.6152620584159968,2.4987605774649677,96.88597736411904
EL PASO,23,213,659,50827,51699,0.4120002321128068,1.27468616414244,98.31331360374476
ELLIS,6,5639,1464,140643,147746,3.8166853924979356,0.9908897702814289,95.19242483722064
ERATH,25,2147,101,23800,26048,8.24247542997543,0.38774570024570026,91.36977886977887
FALLS,17,364,75,10154,10593,3.436231473614651,0.7080147267063155,95.85575379967904
FANNIN,4,1485,96,23402,24983,5.944041948524998,0.38426129768242406,93.67169675379257
FAYETTE,10,1801,141,16456,18398,9.789107511686053,0.7663876508316121,89.44450483748233
FISHER,19,117,19,2586,2722,4.298310066127847,0.698016164584864,95.00367376928729
FLOYD,19,354,5,3308,3667,9.65366784837742,0.13635124079629124,90.20998091082629
FOARD,13,52,7,749,808,6.435643564356436,0.8663366336633664,92.69801980198021
FORT BEND,7,1948,2205,120917,125070,1.5575277844407132,1.7630127128807866,96.6794595026785
FORT BEND,9,789,4412,96533,101734,0.7755519295417461,4.336799889908979,94.88764818054928
FORT BEND,22,11325,4759,312874,328958,3.442688732300172,1.4466892430036662,95.11062202469616
FRANKLIN,1,557,34,7044,7635,7.295350360183366,0.4453176162409954,92.25933202357564
FREESTONE,0,0,0,2,2,0.0,0.0,100.0
FREESTONE,6,564,33,6440,7037,8.014779025152764,0.4689498365780873,91.51627113826915
FREESTONE,17,333,52,6028,6413,5.192577576797131,0.8108529549352878,93.99656946826758
FRIO,23,83,707,8755,9545,0.8695652173913043,7.407019381875328,91.72341540073336
GAINES,19,583,11,9907,10501,5.551852204551948,0.1047519283877726,94.34339586706028
GALVESTON,14,8867,2901,234607,246375,3.5989852866565197,1.1774733637747337,95.22354134956875
GARZA,19,227,6,2420,2653,8.556351300414624,0.22615906520919715,91.21748963437618
GILLESPIE,21,2280,252,19399,21931,10.39624276138799,1.149058410469199,88.45469882814281
GLASSCOCK,11,146,2,696,844,17.298578199052134,0.23696682464454977,82.46445497630332
GOLIAD,27,616,33,5199,5848,10.533515731874145,0.5642954856361149,88.90218878248974
GONZALES,27,962,42,12201,13205,7.285119273002651,0.31806134040136314,92.39681938659598
GRAY,13,922,6,11426,12354,7.4631698235389345,0.04856726566294317,92.48826291079813
GRAYSON,4,4743,502,95136,100381,4.724997758539963,0.5000946394237953,94.77490760203624
GREGG,1,3195,789,72471,76455,4.178928781636257,1.0319795958406905,94.78909162252305
GRIMES,10,1057,109,19995,21161,4.995038041680449,0.5150985303152025,94.48986342800436
GUADALUPE,15,2251,379,48323,50953,4.417796793123074,0.7438227386022414,94.83838046827469
GUADALUPE,28,2336,839,76855,80030,2.918905410471073,1.0483568661751843,96.03273772335375
HALE,19,846,43,17411,18300,4.6229508196721305,0.23497267759562843,95.14207650273224
HALL,13,78,6,1807,1891,4.1248016922263355,0.31729243786356426,95.5579058699101
HAMILTON,31,561,25,5694,6280,8.93312101910828,0.3980891719745223,90.6687898089172
HANSFORD,13,375,2,2633,3010,12.458471760797343,0.0664451827242525,87.47508305647841
HARDEMAN,13,88,5,2302,2395,3.674321503131524,0.20876826722338201,96.11691022964509
HARDIN,36,1383,76,41782,43241,3.198353414583382,0.17575911750422052,96.62588746791239
HARRIS,2,7785,3318,269163,280266,2.7777183104622036,1.1838753184474748,96.03840637109032
HARRIS,7,4192,7317,293918,305427,1.3725047228961422,2.3956624659902364,96.23183281111363
HARRIS,8,3042,2470,244115,249627,1.2186181783220567,0.9894762986375671,97.79190552304038
HARRIS,9,1757,8387,253692,263836,0.6659439955123638,3.1788686911566275,96.155187313331
HARRIS,18,2872,11364,409721,423957,0.6774271919086133,2.6804605184016306,96.64211228968975
HARRIS,22,1245,466,47111,48822,2.550079882020401,0.9544877309409693,96.49543238703863
HARRIS,29,1704,5138,332730,339572,0.5018081585054127,1.5130811727704288,97.98511066872416
HARRIS,36,6564,3127,254453,264144,2.485008177357805,1.1838239748016235,96.33116784784058
HARRIS,38,17146,6587,498009,521742,3.2862985920244108,1.2625013895756907,95.4512000183999
HARRISON,1,2567,402,44463,47432,5.411958171698431,0.8475290942823409,93.74051273401923
HARTLEY,13,229,6,2618,2853,8.026638626007712,0.2103049421661409,91.76305643182616
HASKELL,19,101,17,3333,3451,2.9266879165459287,0.49261083743842365,96.58070124601565
HAYS,0,0,0,6,6,0.0,0.0,100.0
HAYS,21,3415,2857,86194,92466,3.6932494105941642,3.089784353167651,93.21696623623819
HAYS,35,642,1454,91494,93590,0.6859707233678812,1.5535847846992201,97.7604444919329
HEMPHILL,13,268,5,2074,2347,11.418832552194292,0.21303792074989347,88.36812952705581
HENDERSON,5,3201,335,56208,59744,5.357860203535083,0.5607257632565613,94.08141403320836
HIDALGO,15,1337,7816,285691,294844,0.45346013485097203,2.650893353773521,96.89564651137552
HIDALGO,34,432,3761,148124,152317,0.2836190313622249,2.4691925392438137,97.24718842939396
HILL,6,1320,110,25458,26888,4.909253198452841,0.4091044332044035,94.68164236834275
HOCKLEY,19,831,26,13153,14010,5.931477516059957,0.185581727337616,93.88294075660242
HOOD,25,3790,189,47845,51824,7.313213954924359,0.364695893794381,92.32209015128126
HOPKINS,4,1308,98,24048,25454,5.138681543175925,0.38500825017678947,94.47631020664728
HOUSTON,17,1019,129,12789,13937,7.311473057329411,0.9255937432733014,91.7629331993973
HOWARD,19,793,52,16394,17239,4.600034804803063,0.30164162654446314,95.09832356865248
HUDSPETH,23,61,36,2118,2215,2.7539503386004514,1.6252821670428894,95.62076749435666
HUNT,0,0,0,2,2,0.0,0.0,100.0
HUNT,3,2666,245,61047,63958,4.168360486569311,0.3830638856749742,95.44857562775572
HUNT,4,175,24,8871,9070,1.9294377067254687,0.2646085997794928,97.80595369349504
HUTCHINSON,13,1034,28,12412,13474,7.674038889713522,0.20780762950868337,92.11815348077779
IRION,11,133,2,1099,1234,10.777957860615883,0.1620745542949757,89.05996758508914
