County,Old_SD,New_SD,Old_Republican,Old_Democrat,Old_Other,Old_Total,Transition_Republican,Transition_Democrat,Transition_Other,Transition_Total,Pct_Old_Republican,Pct_Old_Democrat,Pct_Transition_Republican,Pct_Transition_Democrat
GRAYSON,30,17.0,4743,502,95136,100381,28,4,726,758,4.724997758539963,0.5000946394237953,3.6939313984168867,0.5277044854881267
GRAYSON,30,11.0,4743,502,95136,100381,421,18,6732,7171,4.724997758539963,0.5000946394237953,5.870868777018547,0.2510110165946172
GRAYSON,30,7.0,4743,502,95136,100381,197,12,3235,3444,4.724997758539963,0.5000946394237953,5.720092915214867,0.34843205574912894
GRAYSON,30,13.0,4743,502,95136,100381,1281,156,25872,27309,4.724997758539963,0.5000946394237953,4.690761287487642,0.571240250466879
GRAYSON,30,4.0,4743,502,95136,100381,55,26,2343,2424,4.724997758539963,0.5000946394237953,2.268976897689769,1.0726072607260726
GREGG,1,3.0,3195,789,72471,76455,3193,787,72419,76399,4.178928781636257,1.0319795958406905,4.179374075576906,1.030118195264336
GRIMES,18,20.0,1057,109,19995,21161,743,64,13632,14439,4.995038041680449,0.5150985303152025,5.1457857192326335,0.4432439919662026
GRIMES,18,27.0,1057,109,19995,21161,311,45,6214,6570,4.995038041680449,0.5150985303152025,4.7336377473363775,0.684931506849315
GUADALUPE,19,6.0,1196,238,23508,24942,544,123,10431,11098,4.7951246892791275,0.9542137759602278,4.901784105244189,1.1083078032077853
GUADALUPE,19,15.0,1196,238,23508,24942,154,31,4564,4749,4.7951246892791275,0.9542137759602278,3.242787955359023,0.6527690040008423
GUADALUPE,19,7.0,1196,238,23508,24942,1,2,254,257,4.7951246892791275,0.9542137759602278,0.38910505836575876,0.7782101167315175
GUADALUPE,19,13.0,1196,238,23508,24942,312,55,5996,6363,4.7951246892791275,0.9542137759602278,4.903347477604903,0.8643721515008643
GUADALUPE,19,17.0,1196,238,23508,24942,166,20,2039,2225,4.7951246892791275,0.9542137759602278,7.460674157303371,0.8988764044943821
GUADALUPE,19,4.0,1196,238,23508,24942,19,7,224,250,4.7951246892791275,0.9542137759602278,7.6,2.8000000000000003
GUADALUPE,25,6.0,2588,884,86731,90203,512,173,18575,19260,2.8690841768012154,0.9800117512721307,2.6583592938733127,0.8982346832814122
GUADALUPE,25,15.0,2588,884,86731,90203,474,128,12000,12602,2.8690841768012154,0.9800117512721307,3.7613077289319152,1.0157117917790826
GUADALUPE,25,11.0,2588,884,86731,90203,555,248,19698,20501,2.8690841768012154,0.9800117512721307,2.7071850153651043,1.2096970879469295
GUADALUPE,25,7.0,2588,884,86731,90203,451,142,16724,17317,2.8690841768012154,0.9800117512721307,2.6043772015938096,0.8200034648033724
GUADALUPE,25,13.0,2588,884,86731,90203,220,99,10055,10374,2.8690841768012154,0.9800117512721307,2.120686331212647,0.9543088490456911
GUADALUPE,25,17.0,2588,884,86731,90203,376,94,9679,10149,2.8690841768012154,0.9800117512721307,3.7047985023154992,0.9261996255788748
GUADALUPE,21,6.0,803,96,14939,15838,318,43,8025,8386,5.0700846066422525,0.6061371385275919,3.79203434295254,0.5127593608394944
GUADALUPE,21,15.0,803,96,14939,15838,186,23,2720,2929,5.0700846066422525,0.6061371385275919,6.350290201433936,0.7852509388869922
GUADALUPE,21,7.0,803,96,14939,15838,114,9,1210,1333,5.0700846066422525,0.6061371385275919,8.552138034508626,0.6751687921980495
GUADALUPE,21,13.0,803,96,14939,15838,126,14,2249,2389,5.0700846066422525,0.6061371385275919,5.274173294265383,0.5860192549183758
GUADALUPE,21,4.0,803,96,14939,15838,59,7,735,801,5.0700846066422525,0.6061371385275919,7.365792759051186,0.8739076154806492
HALE,28,15.0,846,43,17411,18300,288,14,5547,5849,4.6229508196721305,0.23497267759562843,4.923918618567277,0.23935715506924257
HALE,28,13.0,846,43,17411,18300,114,10,3498,3622,4.6229508196721305,0.23497267759562843,3.147432357813363,0.27609055770292656
HALE,28,6.0,846,43,17411,18300,127,10,3613,3750,4.6229508196721305,0.23497267759562843,3.386666666666667,0.26666666666666666
HALE,28,7.0,846,43,17411,18300,229,8,2924,3161,4.6229508196721305,0.23497267759562843,7.244542866181589,0.2530844669408415
HALE,28,4.0,846,43,17411,18300,36,0,1047,1083,4.6229508196721305,0.23497267759562843,3.32409972299169,0.0
HALE,28,11.0,846,43,17411,18300,52,1,723,776,4.6229508196721305,0.23497267759562843,6.701030927835052,0.12886597938144329
HALL,31,31.0,78,6,1807,1891,78,6,1806,1890,4.1248016922263355,0.31729243786356426,4.1269841269841265,0.31746031746031744
HAMILTON,22,1.0,561,25,5694,6280,561,25,5694,6280,8.93312101910828,0.3980891719745223,8.93312101910828,0.3980891719745223
HANSFORD,31,3.0,375,2,2633,3010,375,2,2633,3010,12.458471760797343,0.0664451827242525,12.458471760797343,0.0664451827242525
HARDEMAN,28,3.0,88,5,2302,2395,88,5,2302,2395,3.674321503131524,0.20876826722338201,3.674321503131524,0.20876826722338201
HARDIN,3,1.0,1383,76,41782,43241,1383,72,41758,43213,3.198353414583382,0.17575911750422052,3.2004257977923314,0.16661652743387406
HARRIS,13,13.0,1612,11174,357174,369960,1612,11174,357174,369960,0.43572278084117205,3.020326521786139,0.43572278084117205,3.020326521786139
HARRIS,6,6.0,2603,6324,416313,425240,2603,6324,416313,425240,0.6121249176935377,1.4871601918916377,0.6121249176935377,1.4871601918916377
HARRIS,17,17.0,7332,3863,228912,240107,7332,3863,228912,240107,3.0536385861303503,1.608866047220614,3.0536385861303503,1.608866047220614
HARRIS,4,4.0,6446,2312,207546,216304,6446,2312,207546,216304,2.9800650935720094,1.0688660403876025,2.9800650935720094,1.0688660403876025
HARRIS,7,7.0,14409,5806,559719,579934,14409,5806,559719,579934,2.4845930743843265,1.0011484065428133,2.4845930743843265,1.0011484065428133
HARRIS,11,11.0,5685,2585,197227,205497,5685,2585,197227,205497,2.7664637439962627,1.2579259064609216,2.7664637439962627,1.2579259064609216
HARRIS,15,15.0,7181,15085,542753,565019,7181,15085,542753,565019,1.27093071206455,2.6698217228093215,1.27093071206455,2.6698217228093215
HARRIS,18,18.0,1039,1025,93268,95332,1039,1025,93268,95332,1.0898753828724876,1.0751898627952838,1.0898753828724876,1.0751898627952838
HARRISON,1,1.0,2567,402,44463,47432,2567,402,44462,47431,5.411958171698431,0.8475290942823409,5.412072273407687,0.8475469629567159
HARTLEY,31,31.0,229,6,2618,2853,229,6,2618,2853,8.026638626007712,0.2103049421661409,8.026638626007712,0.2103049421661409
HASKELL,28,24.0,101,17,3333,3451,101,17,3333,3451,2.9266879165459287,0.49261083743842365,2.9266879165459287,0.49261083743842365
HAYS,21,6.0,1335,2305,115273,118913,362,634,39441,40437,1.1226695146872083,1.9383919335985131,0.8952197245097313,1.5678710092242254
HAYS,21,7.0,1335,2305,115273,118913,230,279,10512,11021,1.1226695146872083,1.9383919335985131,2.0869249614372563,2.5315307140912804
HAYS,21,13.0,1335,2305,115273,118913,367,646,35996,37009,1.1226695146872083,1.9383919335985131,0.9916506795644302,1.7455213596692696
HAYS,21,4.0,1335,2305,115273,118913,51,185,6746,6982,1.1226695146872083,1.9383919335985131,0.73044972787167,2.6496705814952737
HAYS,21,15.0,1335,2305,115273,118913,303,501,16166,16970,1.1226695146872083,1.9383919335985131,1.7855038302887447,2.9522687094873308
HAYS,21,17.0,1335,2305,115273,118913,22,60,6412,6494,1.1226695146872083,1.9383919335985131,0.3387742531567601,0.9239297813366184
HAYS,25,6.0,2722,2006,62415,67143,525,280,10242,11047,4.054033927587388,2.987653217759111,4.752421471892822,2.534624785009505
HAYS,25,7.0,2722,2006,62415,67143,417,300,12061,12778,4.054033927587388,2.987653217759111,3.263421505712944,2.3477852559085925
HAYS,25,13.0,2722,2006,62415,67143,766,619,13392,14777,4.054033927587388,2.987653217759111,5.183731474588888,4.188942275157339
HAYS,25,15.0,2722,2006,62415,67143,451,318,11137,11906,4.054033927587388,2.987653217759111,3.788006047371074,2.6709222240886947
HAYS,25,17.0,2722,2006,62415,67143,387,345,13286,14018,4.054033927587388,2.987653217759111,2.7607361963190185,2.4611214153231558
HAYS,25,11.0,2722,2006,62415,67143,176,144,2297,2617,4.054033927587388,2.987653217759111,6.725257928926251,5.50248376003057
HEMPHILL,31,13.0,268,5,2074,2347,111,0,1014,1125,11.418832552194292,0.21303792074989347,9.866666666666667,0.0
HEMPHILL,31,6.0,268,5,2074,2347,154,2,975,1131,11.418832552194292,0.21303792074989347,13.61626878868258,0.17683465959328026
HEMPHILL,31,17.0,268,5,2074,2347,3,3,85,91,11.418832552194292,0.21303792074989347,3.296703296703297,3.296703296703297
HENDERSON,3,3.0,3201,335,56208,59744,3201,335,56166,59702,5.357860203535083,0.5607257632565613,5.361629426149878,0.5611202304780409
HIDALGO,20,4.0,1365,8124,293882,303371,112,532,15856,16500,0.44994412781709525,2.67790922665647,0.6787878787878788,3.2242424242424237
HIDALGO,20,6.0,1365,8124,293882,303371,638,3552,120643,124833,0.44994412781709525,2.67790922665647,0.5110828066296572,2.8454014563456775
HIDALGO,20,15.0,1365,8124,293882,303371,284,1748,64790,66822,0.44994412781709525,2.67790922665647,0.42500972733530873,2.615904941486337
HIDALGO,20,13.0,1365,8124,293882,303371,221,1363,53137,54721,0.44994412781709525,2.67790922665647,0.40386688839750734,2.490817053781912
HIDALGO,20,17.0,1365,8124,293882,303371,40,218,16825,17083,0.44994412781709525,2.67790922665647,0.23415091026166365,1.2761224609260668
HIDALGO,20,11.0,1365,8124,293882,303371,24,384,10979,11387,0.44994412781709525,2.67790922665647,0.21076666373935188,3.37226661982963
HIDALGO,20,7.0,1365,8124,293882,303371,28,190,5178,5396,0.44994412781709525,2.67790922665647,0.5189028910303929,3.5211267605633805
HIDALGO,20,18.0,1365,8124,293882,303371,18,137,6474,6629,0.44994412781709525,2.67790922665647,0.27153416804947955,2.0666767234877055
HIDALGO,27,4.0,404,3453,139933,143790,5,57,5980,6042,0.28096529661311637,2.401418735656165,0.0827540549486925,0.9433962264150944
HIDALGO,27,6.0,404,3453,139933,143790,88,534,27610,28232,0.28096529661311637,2.401418735656165,0.3117030320204024,1.891470671578351
HIDALGO,27,15.0,404,3453,139933,143790,137,1263,56392,57792,0.28096529661311637,2.401418735656165,0.23705703211517165,2.185423588039867
HIDALGO,27,13.0,404,3453,139933,143790,50,663,20603,21316,0.28096529661311637,2.401418735656165,0.23456558453743667,3.1103396509664103
HIDALGO,27,17.0,404,3453,139933,143790,16,87,3105,3208,0.28096529661311637,2.401418735656165,0.4987531172069825,2.711970074812968
HIDALGO,27,11.0,404,3453,139933,143790,15,329,7041,7385,0.28096529661311637,2.401418735656165,0.2031144211238998,4.454976303317536
HIDALGO,27,7.0,404,3453,139933,143790,93,520,19202,19815,0.28096529661311637,2.401418735656165,0.4693414080242241,2.624274539490285
HILL,22,10.0,1320,110,25458,26888,1320,110,25454,26884,4.909253198452841,0.4091044332044035,4.909983633387888,0.4091653027823241
HOCKLEY,28,28.0,831,26,13153,14010,831,26,13152,14009,5.931477516059957,0.185581727337616,5.931900920836605,0.1855949746591477
HOOD,22,13.0,3790,189,47845,51824,657,33,7128,7818,7.313213954924359,0.364695893794381,8.403683806600155,0.422102839600921
HOOD,22,6.0,3790,189,47845,51824,1626,83,21943,23652,7.313213954924359,0.364695893794381,6.874682902080162,0.3509216979536614
HOOD,22,15.0,3790,189,47845,51824,621,27,5847,6495,7.313213954924359,0.364695893794381,9.56120092378753,0.41570438799076215
HOOD,22,7.0,3790,189,47845,51824,414,20,6365,6799,7.313213954924359,0.364695893794381,6.089130754522723,0.29416090601559053
HOOD,22,4.0,3790,189,47845,51824,207,15,3371,3593,7.313213954924359,0.364695893794381,5.761202337879209,0.4174784302811021
HOOD,22,17.0,3790,189,47845,51824,254,10,2501,2765,7.313213954924359,0.364695893794381,9.18625678119349,0.3616636528028933
HOOD,22,11.0,3790,189,47845,51824,11,1,689,701,7.313213954924359,0.364695893794381,1.5691868758915835,0.14265335235378032
HOPKINS,1,1.0,1308,98,24048,25454,1308,98,24047,25453,5.138681543175925,0.38500825017678947,5.138883432208384,0.3850233764192826
HOUSTON,3,27.0,1019,129,12789,13937,1019,129,12789,13937,7.311473057329411,0.9255937432733014,7.311473057329411,0.9255937432733014
HOWARD,31,31.0,793,52,16394,17239,745,52,15633,16430,4.600034804803063,0.30164162654446314,4.534388314059647,0.31649421789409615
HUDSPETH,29,29.0,61,36,2118,2215,61,36,2115,2212,2.7539503386004514,1.6252821670428894,2.7576853526220613,1.62748643761302
HUNT,8,8.0,2841,269,69920,73030,2841,269,69918,73028,3.8901821169382447,0.36834177735177326,3.8902886564057626,0.36835186503806755
HUTCHINSON,31,8.0,1034,28,12412,13474,1034,28,12412,13474,7.674038889713522,0.20780762950868337,7.674038889713522,0.20780762950868337
IRION,31,31.0,133,2,1099,1234,133,2,1099,1234,10.777957860615883,0.1620745542949757,10.777957860615883,0.1620745542949757
JACK,30,17.0,550,10,5310,5870,550,10,5309,5869,9.369676320272573,0.17035775127768313,9.371272789231554,0.17038677798602828
JACKSON,17,31.0,623,30,9271,9924,623,30,9271,9924,6.277710600564289,0.3022974607013301,6.277710600564289,0.3022974607013301
JASPER,3,1.0,1712,162,22709,24583,1711,162,22702,24575,6.964162225928487,0.658991986332018,6.96236012207528,0.659206510681587
JEFF DAVIS,29,3.0,187,39,1349,1575,187,39,1346,1572,11.873015873015873,2.4761904761904763,11.895674300254452,2.480916030534351
JEFFERSON,4,20.0,719,1015,34487,36221,501,733,24173,25407,1.9850363049059936,2.8022417934347477,1.9718975085606327,2.885031684181525
JEFFERSON,4,27.0,719,1015,34487,36221,218,282,10314,10814,1.9850363049059936,2.8022417934347477,2.0159053079341596,2.607730719437766
JEFFERSON,3,20.0,2415,3522,106037,111974,1769,1908,68867,72544,2.1567506742636686,3.145373033025524,2.4385200705778565,2.630127922364358
JEFFERSON,3,27.0,2415,3522,106037,111974,646,1614,37170,39430,2.1567506742636686,3.145373033025524,1.6383464367233072,4.09332995181334
JIM HOGG,21,3.0,4,584,2970,3558,4,584,2970,3558,0.11242270938729623,16.41371557054525,0.11242270938729623,16.41371557054525
JIM WELLS,20,22.0,247,1440,24793,26480,247,1440,24793,26480,0.9327794561933535,5.438066465256798,0.9327794561933535,5.438066465256798
JOHNSON,10,3.0,4856,636,123820,129312,3898,527,96808,101233,3.755258599356595,0.49183370452858205,3.8505230507838357,0.5205812333922732
JOHNSON,10,4.0,4856,636,123820,129312,958,109,27012,28079,3.755258599356595,0.49183370452858205,3.4118024146159054,0.3881904626233128
JONES,28,18.0,395,26,10476,10897,395,26,10476,10897,3.6248508763879963,0.23859777920528588,3.6248508763879963,0.23859777920528588
KARNES,21,1.0,413,36,8018,8467,413,36,8018,8467,4.877760718081965,0.4251801110192512,4.877760718081965,0.4251801110192512
KAUFMAN,2,27.0,4187,789,103279,108255,1526,204,30484,32214,3.8677197358089694,0.7288346958570043,4.737070838765754,0.633265040044701
KAUFMAN,2,20.0,4187,789,103279,108255,2661,585,72783,76029,3.8677197358089694,0.7288346958570043,3.499980270686186,0.7694432387641558
KENDALL,25,19.0,2711,324,36053,39088,1066,127,13609,14802,6.935632419156774,0.8288988948014737,7.201729496014051,0.8579921632211863
KENDALL,25,26.0,2711,324,36053,39088,1045,140,15861,17046,6.935632419156774,0.8288988948014737,6.130470491610935,0.821307051507685
KENDALL,25,25.0,2711,324,36053,39088,600,57,6583,7240,6.935632419156774,0.8288988948014737,8.287292817679557,0.7872928176795579
KENEDY,27,27.0,2,34,235,271,2,34,234,270,0.7380073800738007,12.546125461254611,0.7407407407407408,12.592592592592592
KENT,28,25.0,48,6,546,600,48,6,546,600,8.0,1.0,8.0,1.0
KERR,24,24.0,3492,406,36321,40219,3492,406,36321,40219,8.68246351227032,1.00947313458813,8.68246351227032,1.00947313458813
KIMBLE,24,17.0,452,10,2864,3326,319,5,2174,2498,13.58989777510523,0.30066145520144316,12.770216172938351,0.20016012810248196
KIMBLE,24,11.0,452,10,2864,3326,133,5,690,828,13.58989777510523,0.30066145520144316,16.062801932367147,0.6038647342995169
KING,28,29.0,22,0,143,165,22,0,143,165,13.333333333333334,0.0,13.333333333333334,0.0
KINNEY,19,20.0,286,22,1866,2174,286,22,1866,2174,13.155473781048757,1.011959521619135,13.155473781048757,1.011959521619135
KLEBERG,27,27.0,434,376,17931,18741,140,105,4740,4985,2.3157782402219733,2.0062963555840136,2.8084252758274824,2.106318956870612
KLEBERG,27,20.0,434,376,17931,18741,294,271,13191,13756,2.3157782402219733,2.0062963555840136,2.1372492003489385,1.970049432974702
KNOX,28,24.0,57,4,2168,2229,57,4,2168,2229,2.557200538358008,0.1794526693584567,2.557200538358008,0.1794526693584567
LA SALLE,21,3.0,14,668,3535,4217,14,668,3535,4217,0.3319895660422101,15.84064500829974,0.3319895660422101,15.84064500829974
LAMAR,1,1.0,1862,151,31181,33194,1862,151,31181,33194,5.609447490510333,0.45490148822076276,5.609447490510333,0.45490148822076276
LAMB,28,5.0,353,17,7532,7902,353,17,7532,7902,4.467223487724627,0.21513540875727666,4.467223487724627,0.21513540875727666
LAMPASAS,24,3.0,1153,125,15705,16983,1153,125,15705,16983,6.789142083259731,0.7360301477948538,6.789142083259731,0.7360301477948538
LAVACA,18,18.0,1083,48,13363,14494,1083,48,13363,14494,7.472057403063337,0.33117151924934457,7.472057403063337,0.33117151924934457
LEE,18,5.0,928,80,11193,12201,928,80,11193,12201,7.605933939840996,0.6556839603311204,7.605933939840996,0.6556839603311204
LEON,5,1.0,934,38,11710,12682,934,38,11710,12682,7.364768963885822,0.2996372811859328,7.364768963885822,0.2996372811859328
LIBERTY,3,3.0,3038,208,51455,54701,3038,208,51448,54694,5.553828997641725,0.3802489899636204,5.554539803269097,0.3802976560500238
LIMESTONE,5,28.0,1066,75,13332,14473,1066,75,13332,14473,7.365439093484419,0.518206315207628,7.365439093484419,0.518206315207628
LIPSCOMB,31,31.0,144,1,1677,1822,144,1,1677,1822,7.903402854006586,0.054884742041712405,7.903402854006586,0.054884742041712405
LIVE OAK,21,21.0,478,34,7283,7795,478,34,7283,7795,6.132135984605516,0.43617703656189866,6.132135984605516,0.43617703656189866
LLANO,24,6.0,1836,203,16458,18497,361,37,3384,3782,9.92593393523274,1.0974752662593934,9.545214172395559,0.9783183500793231
LLANO,24,15.0,1836,203,16458,18497,1191,143,9008,10342,9.92593393523274,1.0974752662593934,11.51614774705086,1.3827112744150067
LLANO,24,13.0,1836,203,16458,18497,62,1,735,798,9.92593393523274,1.0974752662593934,7.769423558897243,0.12531328320802004
LLANO,24,11.0,1836,203,16458,18497,222,22,3331,3575,9.92593393523274,1.0974752662593934,6.20979020979021,0.6153846153846154
LOVING,31,1.0,9,5,115,129,9,5,115,129,6.976744186046512,3.875968992248062,6.976744186046512,3.875968992248062
LUBBOCK,28,20.0,8684,1137,187794,197615,5199,662,104475,110336,4.394403258861929,0.5753611820965008,4.711970707656612,0.5999854988399071
LUBBOCK,28,27.0,8684,1137,187794,197615,3483,475,83273,87231,4.394403258861929,0.5753611820965008,3.9928465797709527,0.5445311873072646
LYNN,28,29.0,130,4,4255,4389,130,4,4254,4388,2.961950330371383,0.09113693324219639,2.962625341841386,0.09115770282588878
MADISON,5,31.0,763,16,7699,8478,763,16,7699,8478,8.999764095305498,0.1887237556027365,8.999764095305498,0.1887237556027365
MARION,1,4.0,366,53,7428,7847,366,53,7428,7847,4.66420288008156,0.6754173569517014,4.66420288008156,0.6754173569517014
MARTIN,31,2.0,312,1,3196,3509,312,1,3196,3509,8.891422057566258,0.028498147620404674,8.891422057566258,0.028498147620404674
MASON,28,13.0,393,20,2879,3292,71,2,713,786,11.938031591737545,0.6075334143377886,9.033078880407125,0.2544529262086514
MASON,28,7.0,393,20,2879,3292,97,12,717,826,11.938031591737545,0.6075334143377886,11.743341404358354,1.4527845036319613
MASON,28,6.0,393,20,2879,3292,225,6,1449,1680,11.938031591737545,0.6075334143377886,13.392857142857142,0.35714285714285715
MATAGORDA,17,17.0,1373,172,20900,22445,1373,172,20900,22445,6.117175317442638,0.7663176654043217,6.117175317442638,0.7663176654043217
MAVERICK,19,2.0,64,2824,33063,35951,64,2824,33060,35948,0.1780200828906011,7.855136157547774,0.17803493935684878,7.855791699120952
MCCULLOCH,28,17.0,579,14,4850,5443,579,14,4848,5441,10.63751607569355,0.25721109682160576,10.64142620841757,0.2573056423451571
MCLENNAN,22,11.0,6115,1260,152468,159843,718,129,13419,14266,3.8256288983565123,0.7882734933653648,5.032945464741343,0.9042478620496284
MCLENNAN,22,15.0,6115,1260,152468,159843,1991,441,54162,56594,3.8256288983565123,0.7882734933653648,3.5180407817083084,0.7792345478319257
MCLENNAN,22,13.0,6115,1260,152468,159843,329,116,15815,16260,3.8256288983565123,0.7882734933653648,2.023370233702337,0.7134071340713407
MCLENNAN,22,6.0,6115,1260,152468,159843,2382,482,55451,58315,3.8256288983565123,0.7882734933653648,4.084712338163423,0.8265454857240848
MCLENNAN,22,7.0,6115,1260,152468,159843,274,32,6153,6459,3.8256288983565123,0.7882734933653648,4.242142746555194,0.4954327295246942
MCLENNAN,22,4.0,6115,1260,152468,159843,410,55,6957,7422,3.8256288983565123,0.7882734933653648,5.524117488547561,0.7410401509027217
MCLENNAN,22,18.0,6115,1260,152468,159843,11,5,511,527,3.8256288983565123,0.7882734933653648,2.0872865275142316,0.9487666034155597
MCMULLEN,21,27.0,59,1,583,643,59,1,583,643,9.17573872472784,0.15552099533437014,9.17573872472784,0.15552099533437014
MEDINA,24,24.0,2232,281,36104,38617,2232,281,36104,38617,5.77983789522749,0.7276588031177978,5.77983789522749,0.7276588031177978
MENARD,28,17.0,259,3,1257,1519,194,3,939,1136,17.050691244239633,0.19749835418038184,17.077464788732392,0.2640845070422535
MENARD,28,11.0,259,3,1257,1519,65,0,318,383,17.050691244239633,0.19749835418038184,16.971279373368144,0.0
MIDLAND,31,31.0,4668,268,94340,99276,4668,268,94339,99275,4.7020427897981385,0.26995447036544584,4.7020901536137,0.26995718962477966
MILAM,5,5.0,1488,122,15614,17224,1488,122,15614,17224,8.639108221086856,0.7083139804923363,8.639108221086856,0.7083139804923363
MILLS,28,2.0,635,10,2998,3643,634,10,2993,3637,17.430688992588525,0.2744990392533626,17.431949408853452,0.27495188342040144
MITCHELL,31,24.0,315,5,4218,4538,315,5,4218,4538,6.941383869546056,0.11018069634200088,6.941383869546056,0.11018069634200088
MONTAGUE,30,1.0,1096,29,14559,15684,1096,29,14556,15681,6.988013261922979,0.18490181076256057,6.989350168994324,0.18493718512849947
MONTGOMERY,4,15.0,15121,1940,353012,370073,4945,682,109262,114889,4.085950609744564,0.5242208969581676,4.304154444724909,0.5936164471794515
MONTGOMERY,4,11.0,15121,1940,353012,370073,615,90,23123,23828,4.085950609744564,0.5242208969581676,2.5809971462145374,0.3777068994460299
MONTGOMERY,4,7.0,15121,1940,353012,370073,788,73,17374,18235,4.085950609744564,0.5242208969581676,4.3213600219358375,0.400329037565122
MONTGOMERY,4,13.0,15121,1940,353012,370073,2092,211,43586,45889,4.085950609744564,0.5242208969581676,4.558826734075704,0.45980518206977705
MONTGOMERY,4,6.0,15121,1940,353012,370073,5567,715,128614,134896,4.085950609744564,0.5242208969581676,4.126882932036532,0.5300379551654608
MONTGOMERY,4,17.0,15121,1940,353012,370073,16,12,4631,4659,4.085950609744564,0.5242208969581676,0.34342133505044,0.25756600128783
MONTGOMERY,4,4.0,15121,1940,353012,370073,967,133,24259,25359,4.085950609744564,0.5242208969581676,3.813241847075989,0.524468630466501
MONTGOMERY,4,18.0,15121,1940,353012,370073,131,24,2163,2318,4.085950609744564,0.5242208969581676,5.651423641069888,1.0353753235547885
