County,Old_SD,New_SD,Old_Republican,Old_Democrat,Old_Other,Old_Total,Transition_Republican,Transition_Democrat,Transition_Other,Transition_Total,Pct_Old_Republican,Pct_Old_Democrat,Pct_Transition_Republican,Pct_Transition_Democrat
MONTGOMERY,7,15.0,2425,214,47714,50353,508,58,13778,14344,4.815999046730086,0.4249995035052529,3.541550474065811,0.40435025097601784
MONTGOMERY,7,11.0,2425,214,47714,50353,514,46,9265,9825,4.815999046730086,0.4249995035052529,5.231552162849873,0.46819338422391854
MONTGOMERY,7,7.0,2425,214,47714,50353,117,7,2728,2852,4.815999046730086,0.4249995035052529,4.102384291725105,0.24544179523141654
MONTGOMERY,7,13.0,2425,214,47714,50353,35,2,2529,2566,4.815999046730086,0.4249995035052529,1.3639906469212781,0.0779423226812159
MONTGOMERY,7,6.0,2425,214,47714,50353,892,68,14945,15905,4.815999046730086,0.4249995035052529,5.608299276956932,0.4275385099025464
MONTGOMERY,7,4.0,2425,214,47714,50353,359,33,4469,4861,4.815999046730086,0.4249995035052529,7.385311664266611,0.678872659946513
MONTGOMERY,18,15.0,1848,106,33172,35126,740,35,13791,14566,5.261060183339976,0.3017707680920116,5.080324042290265,0.2402855965948098
MONTGOMERY,18,11.0,1848,106,33172,35126,201,10,5312,5523,5.261060183339976,0.3017707680920116,3.639326453014666,0.1810610175629187
MONTGOMERY,18,7.0,1848,106,33172,35126,145,16,3242,3403,5.261060183339976,0.3017707680920116,4.260946223920071,0.4701733764325595
MONTGOMERY,18,6.0,1848,106,33172,35126,762,45,10827,11634,5.261060183339976,0.3017707680920116,6.549767921609077,0.3867973182052605
MOORE,31,22.0,681,5,9462,10148,681,5,9462,10148,6.7106819077650774,0.049270792274339774,6.7106819077650774,0.049270792274339774
MORRIS,1,21.0,352,69,8580,9001,352,69,8580,9001,3.9106765914898345,0.7665814909454505,3.9106765914898345,0.7665814909454505
MOTLEY,28,3.0,116,1,736,853,116,1,736,853,13.599062133645957,0.11723329425556857,13.599062133645957,0.11723329425556857
NACOGDOCHES,3,29.0,2580,333,37158,40071,2580,333,37158,40071,6.438571535524444,0.8310249307479225,6.438571535524444,0.8310249307479225
NAVARRO,2,2.0,1828,160,30980,32968,1828,160,30978,32966,5.5447706867265225,0.48531909730647904,5.5451070800218405,0.48534854092094887
NEWTON,3,2.0,601,29,8876,9506,601,29,8874,9504,6.322322743530402,0.3050704818009678,6.323653198653198,0.30513468013468015
NOLAN,28,27.0,436,21,8039,8496,436,21,8038,8495,5.131826741996234,0.24717514124293788,5.132430841671572,0.2472042377869335
NUECES,20,20.0,2848,2632,163466,168946,2848,2632,163466,168946,1.6857457412427639,1.5578942383957004,1.6857457412427639,1.5578942383957004
NUECES,27,27.0,1163,480,48637,50280,1163,480,48637,50280,2.313046937151949,0.9546539379474941,2.313046937151949,0.9546539379474941
OCHILTREE,31,17.0,463,4,4750,5217,463,4,4750,5217,8.874832279087599,0.07667241709794902,8.874832279087599,0.07667241709794902
OLDHAM,31,31.0,146,1,1197,1344,146,1,1197,1344,10.863095238095239,0.0744047619047619,10.863095238095239,0.0744047619047619
ORANGE,3,2.0,3117,250,52977,56344,3117,250,52977,56344,5.5320885986085475,0.4437029674854465,5.5320885986085475,0.4437029674854465
PALO PINTO,10,1.0,1363,77,18956,20396,1363,77,18956,20396,6.682682878995881,0.3775250049029222,6.682682878995881,0.3775250049029222
PANOLA,1,8.0,1411,90,16406,17907,1411,90,16406,17907,7.879600156363434,0.5025967498743509,7.879600156363434,0.5025967498743509
PARKER,30,6.0,3936,310,72010,76256,694,48,13761,14503,5.161561057490558,0.4065253881661771,4.785216851685858,0.33096600703302764
PARKER,30,7.0,3936,310,72010,76256,1170,65,16793,18028,5.161561057490558,0.4065253881661771,6.4899045928555585,0.3605502551586421
PARKER,30,15.0,3936,310,72010,76256,475,40,8222,8737,5.161561057490558,0.4065253881661771,5.43664873526382,0.4578230513906375
PARKER,30,17.0,3936,310,72010,76256,849,89,15376,16314,5.161561057490558,0.4065253881661771,5.2041191614564175,0.545543704793429
PARKER,30,4.0,3936,310,72010,76256,74,4,2120,2198,5.161561057490558,0.4065253881661771,3.3666969972702456,0.18198362147406735
PARKER,30,13.0,3936,310,72010,76256,518,49,13756,14323,5.161561057490558,0.4065253881661771,3.6165607763736647,0.3421071004677791
PARKER,30,11.0,3936,310,72010,76256,156,15,1982,2153,5.161561057490558,0.4065253881661771,7.245703669298653,0.6967022758941013
PARKER,10,6.0,3390,177,48025,51592,313,19,4487,4819,6.570786168398202,0.34307644596061404,6.495123469599502,0.39427267067856403
PARKER,10,7.0,3390,177,48025,51592,448,20,5879,6347,6.570786168398202,0.34307644596061404,7.058452812352292,0.3151095005514416
PARKER,10,15.0,3390,177,48025,51592,1494,72,21002,22568,6.570786168398202,0.34307644596061404,6.61999291031549,0.31903580290677064
PARKER,10,17.0,3390,177,48025,51592,188,17,1998,2203,6.570786168398202,0.34307644596061404,8.533817521561508,0.7716749886518384
PARKER,10,4.0,3390,177,48025,51592,62,3,1084,1149,6.570786168398202,0.34307644596061404,5.395996518711923,0.26109660574412535
PARKER,10,13.0,3390,177,48025,51592,690,36,11254,11980,6.570786168398202,0.34307644596061404,5.759599332220367,0.3005008347245409
PARKER,10,11.0,3390,177,48025,51592,195,10,2321,2526,6.570786168398202,0.34307644596061404,7.719714964370546,0.395882818685669
PARMER,31,28.0,196,3,4371,4570,196,3,4371,4570,4.288840262582057,0.06564551422319474,4.288840262582057,0.06564551422319474
PECOS,29,4.0,311,127,7908,8346,2,1,147,150,3.726335969326623,1.5216870357057273,1.3333333333333335,0.6666666666666667
PECOS,29,15.0,311,127,7908,8346,87,4,834,925,3.726335969326623,1.5216870357057273,9.405405405405405,0.43243243243243246
PECOS,29,6.0,311,127,7908,8346,193,94,5215,5502,3.726335969326623,1.5216870357057273,3.5078153398764087,1.7084696474009449
PECOS,29,13.0,311,127,7908,8346,29,28,1712,1769,3.726335969326623,1.5216870357057273,1.639344262295082,1.582815149802148
POLK,3,3.0,2268,135,42145,44548,2268,135,42130,44533,5.091137649277184,0.30304390769507045,5.092852491410864,0.303145981631599
POTTER,31,6.0,2625,323,56883,59831,514,55,10497,11066,4.387357724256656,0.539853921879962,4.644858123983372,0.4970178926441352
POTTER,31,15.0,2625,323,56883,59831,1441,150,25831,27422,4.387357724256656,0.539853921879962,5.2549048209466855,0.547006053533659
POTTER,31,13.0,2625,323,56883,59831,109,60,11971,12140,4.387357724256656,0.539853921879962,0.8978583196046129,0.4942339373970346
POTTER,31,7.0,2625,323,56883,59831,303,48,6620,6971,4.387357724256656,0.539853921879962,4.346578683115766,0.6885669200975469
POTTER,31,17.0,2625,323,56883,59831,258,10,1964,2232,4.387357724256656,0.539853921879962,11.559139784946236,0.4480286738351254
PRESIDIO,29,29.0,10,519,3916,4445,10,519,3915,4444,0.22497187851518563,11.676040494938132,0.22502250225022502,11.678667866786679
RAINS,8,24.0,611,42,8773,9426,611,42,8766,9419,6.482070867812434,0.4455760661998727,6.486888204692642,0.4459072088332095
RANDALL,31,13.0,5883,347,94131,100361,2217,130,29540,31887,5.861838762068931,0.34575183587250025,6.952676639382821,0.4076896540910088
RANDALL,31,7.0,5883,347,94131,100361,704,75,19733,20512,5.861838762068931,0.34575183587250025,3.43213728549142,0.3656396255850234
RANDALL,31,17.0,5883,347,94131,100361,381,17,3247,3645,5.861838762068931,0.34575183587250025,10.452674897119342,0.4663923182441701
RANDALL,31,15.0,5883,347,94131,100361,989,53,13706,14748,5.861838762068931,0.34575183587250025,6.705994033089232,0.35937076213723895
RANDALL,31,11.0,5883,347,94131,100361,681,37,11507,12225,5.861838762068931,0.34575183587250025,5.570552147239264,0.30265848670756645
RANDALL,31,6.0,5883,347,94131,100361,712,26,12488,13226,5.861838762068931,0.34575183587250025,5.383335853621654,0.19658248903674577
RANDALL,31,4.0,5883,347,94131,100361,199,9,3910,4118,5.861838762068931,0.34575183587250025,4.832442933462846,0.2185526954832443
REAGAN,31,21.0,151,1,1657,1809,151,1,1657,1809,8.347153123272525,0.055279159756771695,8.347153123272525,0.055279159756771695
REAL,19,3.0,321,15,2368,2704,321,15,2368,2704,11.871301775147929,0.5547337278106509,11.871301775147929,0.5547337278106509
RED RIVER,1,1.0,468,63,8243,8774,468,63,8242,8773,5.333941189879188,0.7180305447914292,5.33454918499943,0.7181123902883848
RED RIVER,1,3.0,468,63,8243,8774,0,0,1,1,5.333941189879188,0.7180305447914292,0.0,0.0
REEVES,29,3.0,20,565,7272,7857,20,565,7272,7857,0.2545500827287769,7.1910398370879465,0.2545500827287769,7.1910398370879465
REFUGIO,18,18.0,246,50,4657,4953,246,50,4657,4953,4.966686856450636,1.0094891984655765,4.966686856450636,1.0094891984655765
ROBERTS,31,31.0,126,0,597,723,126,0,597,723,17.42738589211618,0.0,17.42738589211618,0.0
ROBERTSON,5,3.0,1066,101,11449,12616,1066,101,11449,12616,8.449587824984148,0.800570703868104,8.449587824984148,0.800570703868104
ROCKWALL,2,2.0,4107,713,83428,88248,4107,713,83428,88248,4.653929834103889,0.8079503218203246,4.653929834103889,0.8079503218203246
RUNNELS,28,3.0,552,12,6265,6829,552,12,6264,6828,8.083174696148777,0.17572118904671255,8.084358523725834,0.17574692442882248
RUSK,1,1.0,2013,203,32211,34427,2009,203,32185,34397,5.847154849391465,0.589653469660441,5.840625635956624,0.5901677471872547
SABINE,3,21.0,688,36,7755,8479,688,36,7755,8479,8.114164406179974,0.4245783700908126,8.114164406179974,0.4245783700908126
SAN AUGUSTINE,3,1.0,358,49,5658,6065,358,49,5657,6064,5.902720527617477,0.8079142621599341,5.903693931398417,0.8080474934036939
SAN JACINTO,5,5.0,1603,102,18821,20526,1603,102,18821,20526,7.809607327292214,0.4969307220111079,7.809607327292214,0.4969307220111079
SAN PATRICIO,27,7.0,1306,441,43625,45372,249,153,8289,8691,2.8784272238384907,0.9719650886008991,2.865032792544011,1.7604418363824648
SAN PATRICIO,27,15.0,1306,441,43625,45372,270,60,10529,10859,2.8784272238384907,0.9719650886008991,2.4864167971268074,0.5525370660281793
SAN PATRICIO,27,17.0,1306,441,43625,45372,304,66,6430,6800,2.8784272238384907,0.9719650886008991,4.470588235294118,0.9705882352941178
SAN PATRICIO,27,4.0,1306,441,43625,45372,67,18,2318,2403,2.8784272238384907,0.9719650886008991,2.7881814398668334,0.7490636704119851
SAN PATRICIO,27,6.0,1306,441,43625,45372,355,129,14374,14858,2.8784272238384907,0.9719650886008991,2.3892852335442187,0.8682191412033922
SAN PATRICIO,27,13.0,1306,441,43625,45372,61,15,1684,1760,2.8784272238384907,0.9719650886008991,3.465909090909091,0.8522727272727272
SAN SABA,28,2.0,492,6,3305,3803,492,6,3305,3803,12.93715487772811,0.15777018143570865,12.93715487772811,0.15777018143570865
SCHLEICHER,31,19.0,169,23,1544,1736,169,23,1544,1736,9.735023041474653,1.3248847926267282,9.735023041474653,1.3248847926267282
SCURRY,31,7.0,719,20,8661,9400,56,2,440,498,7.648936170212766,0.2127659574468085,11.244979919678714,0.4016064257028112
SCURRY,31,4.0,719,20,8661,9400,615,18,7749,8382,7.648936170212766,0.2127659574468085,7.33715103793844,0.21474588403722264
SCURRY,31,18.0,719,20,8661,9400,48,0,472,520,7.648936170212766,0.2127659574468085,9.230769230769232,0.0
SHACKELFORD,10,24.0,231,3,2209,2443,231,3,2208,2442,9.455587392550143,0.12279983626688497,9.45945945945946,0.12285012285012285
SHELBY,3,3.0,1089,41,15265,16395,1089,41,15260,16390,6.642268984446477,0.2500762427569381,6.644295302013423,0.25015253203172666
SHERMAN,31,28.0,149,1,1302,1452,149,1,1302,1452,10.261707988980715,0.06887052341597796,10.261707988980715,0.06887052341597796
SMITH,1,5.0,8968,1656,151578,162202,8968,1656,151573,162197,5.5289083981701825,1.0209491868164386,5.529078836230016,1.020980659321689
SOMERVELL,22,31.0,757,28,6650,7435,757,28,6650,7435,10.181573638197714,0.3765971755211836,10.181573638197714,0.3765971755211836
STARR,21,2.0,28,1033,35410,36471,28,1032,35341,36401,0.07677332675276247,2.832387376271558,0.0769209637097882,2.8350869481607646
STEPHENS,10,10.0,580,5,5324,5909,580,5,5322,5907,9.815535623624978,0.08461668641056017,9.818858980870154,0.08464533604198408
STERLING,31,31.0,132,2,740,874,132,2,740,874,15.102974828375288,0.2288329519450801,15.102974828375288,0.2288329519450801
STONEWALL,28,1.0,59,5,893,957,59,5,893,957,6.165099268547544,0.522466039707419,6.165099268547544,0.522466039707419
SUTTON,24,25.0,344,11,1999,2354,344,11,1999,2354,14.613423959218352,0.46728971962616817,14.613423959218352,0.46728971962616817
SWISHER,31,24.0,290,11,3608,3909,290,11,3608,3909,7.418777180864672,0.28140189306728064,7.418777180864672,0.28140189306728064
TARRANT,12,12.0,4194,1106,68583,73883,4194,1106,68583,73883,5.67654264174438,1.4969614119621564,5.67654264174438,1.4969614119621564
TARRANT,10,10.0,8568,8071,345015,361654,8568,8071,345015,361654,2.3691152316855337,2.231691063834494,2.3691152316855337,2.231691063834494
TARRANT,9,9.0,17853,6690,596205,620748,17853,6690,596205,620748,2.8760463183127456,1.07773202652284,2.8760463183127456,1.07773202652284
TARRANT,22,22.0,3751,3216,197455,204422,3751,3216,197455,204422,1.8349297042392698,1.573216190038254,1.8349297042392698,1.573216190038254
TARRANT,23,23.0,368,1144,50353,51865,368,1144,50353,51865,0.7095343680709534,2.2057264050901377,0.7095343680709534,2.2057264050901377
TAYLOR,28,28.0,3402,306,86465,90173,3402,306,86465,90173,3.772747940070753,0.33934769831324235,3.772747940070753,0.33934769831324235
TERRELL,19,31.0,26,23,577,626,26,23,577,626,4.15335463258786,3.6741214057507987,4.15335463258786,3.6741214057507987
TERRY,28,18.0,473,12,5936,6421,473,12,5934,6419,7.366453823391995,0.18688677776047344,7.368749026328089,0.18694500701043776
THROCKMORTON,28,28.0,112,2,1109,1223,112,2,1099,1213,9.157808667211773,0.1635322976287817,9.23330585325639,0.16488046166529266
TITUS,1,1.0,1326,122,16638,18086,1326,122,16636,18084,7.3316377308415355,0.6745549043459029,7.332448573324486,0.6746295067462951
TOM GREEN,28,13.0,3062,308,69429,72799,917,95,20116,21128,4.20610173216665,0.42308273465294854,4.340212040893602,0.44964028776978415
TOM GREEN,28,15.0,3062,308,69429,72799,748,68,17787,18603,4.20610173216665,0.42308273465294854,4.02085685104553,0.3655324410041391
TOM GREEN,28,6.0,3062,308,69429,72799,719,39,11956,12714,4.20610173216665,0.42308273465294854,5.655183262545226,0.3067484662576687
TOM GREEN,28,7.0,3062,308,69429,72799,308,34,9035,9377,4.20610173216665,0.42308273465294854,3.2846326117095015,0.3625893142796204
TOM GREEN,28,4.0,3062,308,69429,72799,23,6,331,360,4.20610173216665,0.42308273465294854,6.388888888888888,1.6666666666666667
TOM GREEN,28,11.0,3062,308,69429,72799,115,23,4201,4339,4.20610173216665,0.42308273465294854,2.650380271952063,0.5300760543904126
TOM GREEN,28,17.0,3062,308,69429,72799,232,43,6003,6278,4.20610173216665,0.42308273465294854,3.695444409047467,0.684931506849315
TRAVIS,25,11.0,2975,1873,103486,108334,60,42,3069,3171,2.746136946849558,1.7289124374619234,1.8921475875118259,1.3245033112582782
TRAVIS,25,7.0,2975,1873,103486,108334,128,128,7619,7875,2.746136946849558,1.7289124374619234,1.6253968253968254,1.6253968253968254
TRAVIS,25,6.0,2975,1873,103486,108334,922,484,25686,27092,2.746136946849558,1.7289124374619234,3.4032186623357448,1.7865052413996754
TRAVIS,25,15.0,2975,1873,103486,108334,1182,644,36455,38281,2.746136946849558,1.7289124374619234,3.0876936339176093,1.6822967007131473
TRAVIS,25,13.0,2975,1873,103486,108334,481,369,18967,19817,2.746136946849558,1.7289124374619234,2.427208962002321,1.862037644446687
TRAVIS,25,17.0,2975,1873,103486,108334,202,206,11690,12098,2.746136946849558,1.7289124374619234,1.6696974706563068,1.7027607869069268
TRAVIS,14,11.0,6295,28629,661560,696484,567,1923,39482,41972,0.9038255006575888,4.110503615302003,1.3509006004002668,4.581625845801963
TRAVIS,14,7.0,6295,28629,661560,696484,341,2451,67019,69811,0.9038255006575888,4.110503615302003,0.48846170374296316,3.510908023090917
TRAVIS,14,6.0,6295,28629,661560,696484,1958,8554,189922,200434,0.9038255006575888,4.110503615302003,0.9768801700310326,4.267739006356207
TRAVIS,14,15.0,6295,28629,661560,696484,1433,6350,134028,141811,0.9038255006575888,4.110503615302003,1.0104998906995932,4.477790862485985
TRAVIS,14,13.0,6295,28629,661560,696484,1303,6180,144374,151857,0.9038255006575888,4.110503615302003,0.858044080944573,4.0696181275805525
TRAVIS,14,4.0,6295,28629,661560,696484,234,983,22493,23710,0.9038255006575888,4.110503615302003,0.9869253479544495,4.1459299873471105
TRAVIS,14,17.0,6295,28629,661560,696484,444,2117,59501,62062,0.9038255006575888,4.110503615302003,0.7154136186394251,3.41110502400825
TRAVIS,14,18.0,6295,28629,661560,696484,15,71,4741,4827,0.9038255006575888,4.110503615302003,0.3107520198881293,1.4708928941371453
TRAVIS,21,11.0,497,2927,120080,123504,66,438,21122,21626,0.40241611607721206,2.369963725871227,0.3051881993896236,2.025339868676593
TRAVIS,21,7.0,497,2927,120080,123504,75,432,23272,23779,0.40241611607721206,2.369963725871227,0.31540434837461623,1.8167290466377897
TRAVIS,21,6.0,497,2927,120080,123504,25,317,12323,12665,0.40241611607721206,2.369963725871227,0.19739439399921044,2.502960915909988
TRAVIS,21,15.0,497,2927,120080,123504,200,751,24844,25795,0.40241611607721206,2.369963725871227,0.7753440589261484,2.9114169412676874
TRAVIS,21,13.0,497,2927,120080,123504,67,489,21819,22375,0.40241611607721206,2.369963725871227,0.2994413407821229,2.1854748603351957
TRAVIS,21,4.0,497,2927,120080,123504,20,127,6929,7076,0.40241611607721206,2.369963725871227,0.2826455624646693,1.79479932165065
TRAVIS,21,17.0,497,2927,120080,123504,44,373,9771,10188,0.40241611607721206,2.369963725871227,0.43188064389477815,3.6611700039261876
TRINITY,3,8.0,1091,72,11160,12323,1091,72,11160,12323,8.853363628986449,0.5842733100705997,8.853363628986449,0.5842733100705997
TYLER,3,3.0,1117,51,13728,14896,1117,51,13716,14884,7.498657357679914,0.34237379162191195,7.50470303681806,0.34264982531577537
UPSHUR,1,27.0,1598,133,28757,30488,1598,133,28755,30486,5.241406454998688,0.43623720808186833,5.241750311618447,0.4362658269369547
UPTON,31,5.0,261,3,1846,2110,261,3,1846,2110,12.369668246445498,0.14218009478672985,12.369668246445498,0.14218009478672985
UVALDE,19,17.0,465,328,17182,17975,307,134,8659,9100,2.58692628650904,1.8247566063977747,3.373626373626373,1.4725274725274726
UVALDE,19,11.0,465,328,17182,17975,158,194,8520,8872,2.58692628650904,1.8247566063977747,1.7808836789900813,2.1866546438232644
VAL VERDE,19,19.0,438,619,29105,30162,438,619,29096,30153,1.4521583449373383,2.052251176977654,1.4525917819122476,2.052863728318907
VAN ZANDT,2,2.0,2412,104,39412,41928,2412,104,39408,41924,5.752718946765884,0.24804426636138144,5.753267817956302,0.24806793244919376
VICTORIA,18,29.0,2662,385,55170,58217,2662,385,55170,58217,4.572547537660821,0.661318858752598,4.572547537660821,0.661318858752598
WALKER,5,28.0,2436,279,36355,39070,1187,133,15098,16418,6.234962887125672,0.714102892244689,7.229869655256425,0.810086490437325
WALKER,5,30.0,2436,279,36355,39070,1249,146,21235,22630,6.234962887125672,0.714102892244689,5.519222271321255,0.6451612903225806
WALLER,18,6.0,1041,260,27449,28750,983,171,19865,21019,3.620869565217391,0.9043478260869564,4.676721061896379,0.8135496455587801
WALLER,18,13.0,1041,260,27449,28750,37,11,5250,5298,3.620869565217391,0.9043478260869564,0.6983767459418648,0.20762551906379767
WALLER,18,17.0,1041,260,27449,28750,9,76,2060,2145,3.620869565217391,0.9043478260869564,0.4195804195804196,3.5431235431235435
WALLER,18,15.0,1041,260,27449,28750,12,2,274,288,3.620869565217391,0.9043478260869564,4.166666666666666,0.6944444444444444
WALLER,17,6.0,410,71,14883,15364,80,12,3535,3627,2.668575891694871,0.4621192397813069,2.2056796250344637,0.3308519437551696
WALLER,17,13.0,410,71,14883,15364,29,5,512,546,2.668575891694871,0.4621192397813069,5.311355311355311,0.9157509157509158
WALLER,17,11.0,410,71,14883,15364,120,29,4800,4949,2.668575891694871,0.4621192397813069,2.424732269145282,0.5859769650434431
WALLER,17,15.0,410,71,14883,15364,143,10,1719,1872,2.668575891694871,0.4621192397813069,7.638888888888889,0.5341880341880342
WALLER,17,7.0,410,71,14883,15364,21,8,3956,3985,2.668575891694871,0.4621192397813069,0.5269761606022585,0.20075282308657463
WALLER,17,4.0,410,71,14883,15364,17,7,361,385,2.668575891694871,0.4621192397813069,4.415584415584416,1.8181818181818181
WARD,31,31.0,355,36,6670,7061,355,36,6670,7061,5.02761648491715,0.5098427984704716,5.02761648491715,0.5098427984704716
WASHINGTON,18,17.0,2297,268,23296,25861,145,11,1300,1456,8.882100460152353,1.0363095007926995,9.958791208791208,0.7554945054945055
WASHINGTON,18,6.0,2297,268,23296,25861,1165,110,9997,11272,8.882100460152353,1.0363095007926995,10.335344215755855,0.9758694109297373
WASHINGTON,18,15.0,2297,268,23296,25861,196,16,2392,2604,8.882100460152353,1.0363095007926995,7.526881720430108,0.6144393241167435
WASHINGTON,18,11.0,2297,268,23296,25861,156,21,2123,2300,8.882100460152353,1.0363095007926995,6.782608695652175,0.9130434782608696
WASHINGTON,18,13.0,2297,268,23296,25861,635,110,7484,8229,8.882100460152353,1.0363095007926995,7.716611982014826,1.3367359338923321
WEBB,21,21.0,241,6850,141526,148617,241,6850,141401,148492,0.16216179844836054,4.609163150918132,0.16229830563262668,4.613043126902459
WHARTON,17,14.0,1954,195,24318,26467,1954,195,24314,26463,7.382778554426267,0.7367665394642384,7.383894494199448,0.7368779049994332
WHEELER,28,24.0,462,4,2954,3420,462,4,2954,3420,13.508771929824562,0.11695906432748539,13.508771929824562,0.11695906432748539
WICHITA,28,28.0,2356,188,45931,48475,2356,188,45931,48475,4.8602372356884995,0.38782877772047447,4.8602372356884995,0.38782877772047447
WICHITA,30,30.0,1274,181,30180,31635,1274,181,30180,31635,4.027185079816658,0.5721510984668879,4.027185079816658,0.5721510984668879
WILBARGER,28,8.0,342,34,7758,8134,342,34,7758,8134,4.204573395623309,0.4179985247110892,4.204573395623309,0.4179985247110892
WILLACY,27,27.0,36,445,11208,11689,36,445,11206,11687,0.30798186329027294,3.806998032338096,0.30803456832377857,3.807649525113374
WILLIAMSON,5,5.0,9194,4384,285643,299221,9194,4384,285643,299221,3.0726453023016433,1.4651378078410273,3.0726453023016433,1.4651378078410273
WILLIAMSON,24,24.0,2980,2835,141872,147687,2980,2835,141872,147687,2.017780847332534,1.919600235633468,2.017780847332534,1.919600235633468
WILSON,21,21.0,1853,232,37097,39182,1853,232,37097,39182,4.72921239344597,0.5921086213057016,4.72921239344597,0.5921086213057016
WINKLER,31,28.0,203,3,3873,4079,203,3,3873,4079,4.976709977935768,0.07354743809757293,4.976709977935768,0.07354743809757293
WISE,12,27.0,2964,170,52850,55984,2964,170,52850,55984,5.294369819948557,0.3036581880537296,5.294369819948557,0.3036581880537296
WOOD,1,1.0,2397,166,33105,35668,2397,166,33092,35655,6.720309521139396,0.46540316249859814,6.722759781236853,0.4655728509325481
YOAKUM,31,31.0,463,1,3840,4304,463,1,3840,4304,10.757434944237918,0.023234200743494422,10.757434944237918,0.023234200743494422
YOUNG,30,29.0,994,34,11401,12429,994,34,11379,12407,7.997425376136455,0.2735537855016493,8.011606351253326,0.27403884903683406
ZAPATA,21,21.0,10,1209,6988,8207,10,1209,6988,8207,0.12184720360667724,14.731326916047276,0.12184720360667724,14.731326916047276
ZAVALA,19,1.0,5,864,6957,7826,5,864,6956,7825,0.0638895987733197,11.040122668029644,0.06389776357827476,11.041533546325878
